#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
2202;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
2203;20/08/2026 14:20:05;IRP_MJ_READ;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2204;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
2205;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
2206;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
2207;20/08/2026 14:20:05;IRP_MJ_WRITE;DOWN;STATUS_PENDING;aa ;"ª";1;1;COM5;;
2208;20/08/2026 14:20:05;IRP_MJ_WRITE;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2209;20/08/2026 14:20:05;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
2210;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
2211;20/08/2026 14:20:05;IRP_MJ_READ;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2212;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
2213;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
2214;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
2215;20/08/2026 14:20:05;IRP_MJ_WRITE;DOWN;STATUS_PENDING;aa ;"ª";1;1;COM5;;
2216;20/08/2026 14:20:05;IRP_MJ_WRITE;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2217;20/08/2026 14:20:05;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
2218;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
2219;20/08/2026 14:20:05;IRP_MJ_READ;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2220;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
2221;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
2222;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
2223;20/08/2026 14:20:05;IRP_MJ_WRITE;DOWN;STATUS_PENDING;aa ;"ª";1;1;COM5;;
2224;20/08/2026 14:20:05;IRP_MJ_WRITE;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
2225;20/08/2026 14:20:05;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
2226;20/08/2026 14:20:05;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
2227;20/08/2026 14:20:05;IRP_MJ_READ;UP;STATUS_SUCCESS;aa ;"ª";1;;COM5;;
